timestamp_utc,puuid,tier,queue,old_lp,new_lp,lp_delta
2026-07-12T02:16:33,Mu-WO1HJ9U13lFcPiFpicZ-Q5jk7YEjYKIO7wCog0q53X6MjhTb3f7xRz9ujVH-YKZHP71ssV3fYzQ,master,RANKED_SOLO_5x5,884,913,29
2026-07-12T02:16:33,bozdaqE3lKy-ZmjV6Vbg0Nkw1xARt-sEtET4NzJF2Z20g-ZotR8VQV2hCvn-gkZW_PsXt895-CYhDg,master,RANKED_SOLO_5x5,853,883,30
2026-07-12T02:16:33,p6RmX-IWQ8Eky-xdFypfVTkwpdhNcP_kaFN2aZ8CkMW_VTljQDxaldBZYn1yfKJqi7qG87VFOBgePA,master,RANKED_SOLO_5x5,853,881,28
2026-07-12T02:16:33,_UuXRtabFeKm_gTYYbSuw5CLOL_MMHuYIz654Zzqp__soisNrAhwp8DtK_iwcn08caKMPvCVSJyFVQ,master,RANKED_SOLO_5x5,811,869,58
2026-07-12T02:16:33,UrWkNCsnHYY3o48XvEww69LNnG2cPRcvfiSbzVkyX_GoBIFlWVnkpKwiHjHlLLWEufkiLLjAPlzZEA,master,RANKED_SOLO_5x5,799,826,27
2026-07-12T02:16:33,aCuJGGkqL_0kX15YbdyjwzO8FkHaleHn0-LBruN95KvJwfrEIAN9kmH1lzw9ycqzxaAC9UbbZ0P_iQ,master,RANKED_SOLO_5x5,795,824,29
2026-07-12T02:16:33,U2G5QnoF9W29z416lXh6t6UsnewBrFOWpQWWzs71PnQCqWlbudhvL3ux0_ErdJiKDLKTP-MUqjg8aw,master,RANKED_SOLO_5x5,840,808,-32
2026-07-12T02:16:33,iDaIF4qYoaozqTNbcJoXYLRsKWwqDILo0LcHfKtu34u77SEgY1GsXJBY5bpVLH0vPBTs2ONxti7GYQ,master,RANKED_SOLO_5x5,807,774,-33
2026-07-12T02:16:33,_9tX7NRJyd2j_x2jGyS3lWfY2uMW7lLcSNOvQFykGi2OUfzYdV9iO75tbjtEb-Ot0YGNEMlyn2vPOA,master,RANKED_SOLO_5x5,796,765,-31
2026-07-12T02:16:33,NHFFdEeN6zDVo7R-DBH_gKJ6btCV41KX8A7wg6ZUTC52AmvDOHVsHOgiF2SogLRF9dMb9eqWXVocBQ,master,RANKED_SOLO_5x5,793,762,-31
